date,raw_value,hamilton_trend,hamilton_cycle
1996-10-31,0.34,,
1996-11-30,0.04,,
1996-12-31,0.43,,
1997-01-31,0.12,,
1997-02-28,0.44,,
1997-03-31,0.47,,
1997-04-30,0.06,,
1997-05-31,0.07,,
1997-06-30,-0.37,,
1997-07-31,-0.65,,
1997-08-31,-0.89,,
1997-09-30,-0.95,-0.048855523837012194,-0.9011444761629878
1997-10-31,-0.92,1.5296311479612688,-2.4496311479612687
1997-11-30,-0.61,0.5769559754397575,-1.1869559754397576
1997-12-31,-0.92,0.2491563409720602,-1.1691563409720602
1998-01-31,-1.32,0.628654979103664,-1.948654979103664
1998-02-28,-2.65,-0.5317342000971694,-2.1182657999028303
1998-03-31,-3.2,-0.07338334943972297,-3.126616650560277
1998-04-30,-3.69,-0.44122841675327007,-3.2487715832467297
1998-05-31,-4.47,-0.04901247029087763,-4.420987529709122
1998-06-30,-4.88,0.14799044861596444,-5.027990448615965
1998-07-31,-4.96,0.8360184188899582,-5.796018418889958
1998-08-31,-5.54,-0.12678531346649224,-5.413214686533507
1998-09-30,-4.19,-0.222574207629473,-3.9674257923705274
1998-10-31,-5.38,-2.6056295906194498,-2.77437040938055
1998-11-30,-5.68,-1.731721887593154,-3.948278112406846
1998-12-31,-5.38,-2.4862449237263906,-2.8937550762736093
1999-01-31,-4.92,-2.5506104464338826,-2.3693895535661174
1999-02-28,-4.89,-2.0882368497660035,-2.801763150233996
1999-03-31,-4.62,-1.807344563395409,-2.812655436604591
1999-04-30,-3.86,-2.4408951540264674,-1.4191048459735325
1999-05-31,-3.42,1.2091122576453817,-4.629112257645382
1999-06-30,-3.6,-3.346845270001298,-0.25315472999870225
1999-07-31,-2.51,-0.720450619429533,-1.7895493805704668
1999-08-31,-2.3,-1.679780688900907,-0.6202193110990928
1999-09-30,-2.1,-0.5080606297757431,-1.591939370224257
1999-10-31,-0.74,-0.6625031519062503,-0.07749684809374968
1999-11-30,-1.04,-0.11051620454320066,-0.9294837954567994
1999-12-31,-0.83,0.5667309917421512,-1.3967309917421513
2000-01-31,0.03,0.4522880221376475,-0.4222880221376475
2000-02-29,1.2,-0.19522690864843462,1.3952269086484346
2000-03-31,1.87,1.8111165990486313,0.05888340095136879
2000-04-30,2.59,0.1246909769463791,2.4653090230536208
2000-05-31,0.67,1.12943130433454,-0.45943130433454005
2000-06-30,2.95,2.6516649982246356,0.29833500177536454
2000-07-31,4.5,0.07824296709450707,4.421757032905493
2000-08-31,3.92,1.733933921355034,2.186066078644966
2000-09-30,3.7,1.716032522507182,1.9839674774928182
2000-10-31,3.6,3.0469787574984655,0.5530212425015346
2000-11-30,3.5,3.046370019443367,0.45362998055663306
2000-12-31,2.8,3.566842842812007,-0.7668428428120073
2001-01-31,1.43,-1.5440128085637719,2.9740128085637716
2001-02-28,0.9,5.508234147061868,-4.608234147061868
2001-03-31,0.2,3.1036206644395303,-2.90362066443953
2001-04-30,-0.1,2.9665285295474577,-3.066528529547458
2001-05-31,-0.2,2.6751490691838313,-2.8751490691838315
2001-06-30,-0.6,1.1300841852675862,-1.7300841852675863
2001-07-31,-1.3,1.4001112321057985,-2.7001112321057983
2001-08-31,-2.0,0.34132671582725216,-2.341326715827252
2001-09-30,-2.9,-1.1933011382221537,-1.7066988617778462
2001-10-31,-3.1,-0.611646831409125,-2.488353168590875
2001-11-30,-3.7,-1.574117417205398,-2.125882582794602
2001-12-31,-4.0,-0.3859122442721006,-3.6140877557278994
2002-01-31,-4.2,-0.21261353610194145,-3.9873864638980585
2002-02-28,-4.2,-0.46501352628038056,-3.7349864737196197
2002-03-31,-4.0,-1.0207138163357514,-2.9792861836642484
2002-04-30,-3.06,-1.5182829190418419,-1.5417170809581582
2002-05-31,-2.63,-2.364487916781091,-0.26551208321890885
2002-06-30,-2.5,-1.3641715779389632,-1.1358284220610368
2002-07-31,-2.3,-2.2803506588991898,-0.01964934110081007
2002-08-31,-1.7,-1.3803387583599127,-0.31966124164008725
2002-09-30,-1.4,-1.5896615397242382,0.18966153972423827
2002-10-31,-1.0,-1.0281211702077027,0.02812117020770266
2002-11-30,-0.4,-0.5551331258891299,0.15513312588912986
2002-12-31,0.4,1.075467005391193,-0.675467005391193
2003-01-31,2.4,0.6529849839329378,1.747015016067062
2003-02-28,4.0,0.7880221561765914,3.2119778438234086
2003-03-31,4.6,0.5215458721029709,4.078454127897029
2003-04-30,3.6,1.0982974648328536,2.5017025351671465
2003-05-31,2.0,0.8233863969541435,1.1766136030458565
2003-06-30,1.3,1.4072472071311415,-0.10724720713114144
2003-07-31,1.4,1.6772284672742772,-0.2772284672742773
2003-08-31,1.4,2.3457489601367754,-0.9457489601367755
2003-09-30,1.4,5.033319006230175,-3.6333190062301752
2003-10-31,1.2,5.201990164841751,-4.001990164841751
2003-11-30,1.9,4.790366821024136,-2.8903668210241364
2003-12-31,3.0,1.5785268878567251,1.4214731121432749
2004-01-31,3.5,-0.8209385895074686,4.320938589507469
2004-02-29,3.5,-1.007652411306129,4.507652411306129
2004-03-31,4.0,-0.1470066426021175,4.1470066426021175
2004-04-30,5.0,0.4980227780368969,4.501977221963103
2004-05-31,5.7,1.1388441440001564,4.561155855999844
2004-06-30,6.4,0.6831241888679287,5.716875811132072
2004-07-31,6.4,2.2860997464906445,4.113900253509356
2004-08-31,6.8,3.1786395427833485,3.6213604572166513
2004-09-30,7.9,3.1786751272578613,4.721324872742139
2004-10-31,8.4,2.678197200065295,5.721802799934705
2004-11-30,8.1,3.0842804912137955,5.015719508786204
2004-12-31,7.1,3.820829861733513,3.279170138266487
2005-01-31,5.8,4.033990087318008,1.7660099126819917
2005-02-28,5.38,4.642118775104171,0.7378812248958289
2005-03-31,5.6,3.315811085269063,2.2841889147309367
2005-04-30,5.78,4.004448830742202,1.775551169257798
2005-05-31,5.9,4.9119495914183275,0.9880504085816728
2005-06-30,5.2,4.53197767807459,0.6680223219254104
2005-07-31,5.2,3.713238486621666,1.486761513378334
2005-08-31,5.3,1.7484252468426433,3.5515747531573565
2005-09-30,4.5,0.15083706667511976,4.34916293332488
2005-10-31,4.0,0.7809751369226596,3.2190248630773404
2005-11-30,3.2,1.6750579286037226,1.5249420713962776
2005-12-31,3.2,2.44150439098234,0.7584956090176602
2006-01-31,3.05,2.9039134275095915,0.14608657249040835
2006-02-28,3.01,1.3697608018026841,1.6402391981973157
2006-03-31,2.49,2.3330143912233865,0.15698560877661372
2006-04-30,1.87,1.9150299219615867,-0.045029921961586616
2006-05-31,2.43,0.8391050625585912,1.590894937441409
2006-06-30,3.52,1.1436776993667053,2.3763223006332947
2006-07-31,3.58,-0.2858082540687139,3.865808254068714
2006-08-31,3.4,1.1692775749692306,2.2307224250307693
2006-09-30,3.5,0.7139006311464389,2.786099368853561
2006-10-31,2.9,1.507517778524103,1.392482221475897
2006-11-30,2.78,0.483315572377248,2.296684427622752
2006-12-31,3.1,0.17444180747045746,2.9255581925295426
2007-01-31,3.3,1.7838586897094855,1.5161413102905144
2007-02-28,2.6,2.9795812179172803,-0.37958121791728017
2007-03-31,2.7,2.409634817968019,0.29036518203198103
2007-04-30,2.9,2.321075978431164,0.5789240215688358
2007-05-31,2.8,1.9298739360907131,0.8701260639092867
2007-06-30,2.49,0.4809182783642907,2.0090817216357095
2007-07-31,2.4,1.3511481805133307,1.0488518194866692
2007-08-31,2.6,1.6091952840027801,0.99080471599722
2007-09-30,2.7,1.9164194818157503,0.7835805181842499
2007-10-31,3.2,0.6430154573009208,2.5569845426990794
2007-11-30,4.55,1.7379216696616915,2.8120783303383083
2007-12-31,5.43,1.296214445361409,4.133785554638591
2008-01-31,6.1,1.4576743401399757,4.642325659860024
2008-02-29,6.62,1.087100461002719,5.532899538997281
2008-03-31,7.95,1.1363899216779743,6.813610078322026
2008-04-30,8.12,1.4986530490086807,6.6213469509913185
2008-05-31,8.22,1.5802004846735347,6.639799515326466
2008-06-30,8.84,2.588658825456408,6.251341174543592
2008-07-31,10.03,4.296743407083346,5.7332565929166535
2008-08-31,10.06,4.254644132917573,5.805355867082428
2008-09-30,9.13,4.797626491323655,4.332373508676346
2008-10-31,6.59,4.335380989907298,2.2546190100927017
2008-11-30,1.99,5.838288349842546,-3.848288349842546
2008-12-31,-1.14,4.047560915393426,-5.1875609153934255
2009-01-31,-3.35,4.529292151637364,-7.8792921516373635
2009-02-28,-4.47,4.5879255914522545,-9.057925591452253
2009-03-31,-6.0,5.845478853857909,-11.845478853857909
2009-04-30,-6.6,4.532324380732611,-11.13232438073261
2009-05-31,-7.2,3.1069005275996275,-10.306900527599627
2009-06-30,-7.8,-1.2358030729867657,-6.564196927013234
2009-07-31,-8.2,-6.839653412544386,-1.3603465874556129
2009-08-31,-7.86,-7.070771338638822,-0.7892286613611788
2009-09-30,-6.99,-7.913351239334507,0.9233512393345071
2009-10-31,-5.85,-5.319522640620926,-0.5304773593790735
2009-11-30,-2.08,-5.611334695430096,3.531334695430096
2009-12-31,1.7,-3.518857191187033,5.218857191187033
2010-01-31,4.32,-3.96693892292463,8.28693892292463
2010-02-28,5.39,-3.407479456696702,8.797479456696703
2010-03-31,5.91,-3.2284738764279517,9.138473876427952
2010-04-30,6.81,-1.955770046330663,8.765770046330662
2010-05-31,7.13,-0.6261867665069332,7.756186766506933
2010-06-30,6.41,0.8094683138873826,5.6005316861126175
2010-07-31,4.84,6.5597311749027085,-1.7197311749027087
2010-08-31,4.32,8.253320201890897,-3.933320201890897
2010-09-30,4.33,9.448802127267697,-5.118802127267697
2010-10-31,5.04,7.3079207046290975,-2.2679207046290975
2010-11-30,6.06,5.551102622129916,0.5088973778700838
2010-12-31,5.93,5.126379229063197,0.8036207709368028
2011-01-31,6.6,3.9198263930188375,2.680173606981162
2011-02-28,7.23,2.334926477123597,4.8950735228764035
2011-03-31,7.31,-0.052148320005386495,7.362148320005386
2011-04-30,6.82,0.48485167813922736,6.335148321860773
2011-05-31,6.79,0.7085270936001784,6.081472906399822
2011-06-30,7.12,2.920839731286069,4.199160268713931
2011-07-31,7.54,4.223456261701866,3.316543738298134
2011-08-31,7.25,2.9973067810293728,4.252693218970627
2011-09-30,6.52,4.605465991198022,1.9145340088019775
2011-10-31,5.0,3.884383157046713,1.115616842953287
2011-11-30,2.72,3.705714441502142,-0.9857144415021417
2011-12-31,1.69,2.58439203673494,-0.8943920367349398
2012-01-31,0.73,2.790430021087923,-2.060430021087923
2012-02-29,0.03,3.0318014756306777,-3.001801475630678
2012-03-31,-0.32,3.7124058569009044,-4.032405856900905
2012-04-30,-0.7,2.819694143480909,-3.5196941434809093
2012-05-31,-1.4,1.912965147039536,-3.312965147039536
2012-06-30,-2.08,-0.41873935224442604,-1.661260647755574
2012-07-31,-2.87,-2.762742159469301,-0.10725784053069898
2012-08-31,-3.48,-1.871858740689583,-1.608141259310417
2012-09-30,-3.55,-2.585491549886176,-0.9645084501138239
2012-10-31,-2.76,-1.390626119890334,-1.3693738801096658
2012-11-30,-2.2,-0.8840298950701301,-1.3159701049298702
2012-12-31,-1.94,-0.8129790298690445,-1.1270209701309555
2013-01-31,-1.64,-1.2545305646399898,-0.3854694353600101
2013-02-28,-1.63,-1.4971814723206522,-0.13281852767934765
2013-03-31,-1.92,-2.182836185154676,0.2628361851546761
2013-04-30,-2.62,-2.096464080261349,-0.5235359197386513
2013-05-31,-2.87,-1.3577615638372498,-1.5122384361627503
2013-06-30,-2.7,0.42269114923878615,-3.1226911492387863
2013-07-31,-2.27,0.7620586589805836,-3.0320586589805836
2013-08-31,-1.62,1.0610548315197708,-2.681054831519771
2013-09-30,-1.34,1.0080726006701823,-2.348072600670182
2013-10-31,-1.51,0.3226665220423728,-1.8326665220423728
2013-11-30,-1.42,-0.22844760582661827,-1.1915523941733817
2013-12-31,-1.36,-1.3520876351283881,-0.007912364871611954
2014-01-31,-1.64,-1.0164436220584507,-0.6235563779415492
2014-02-28,-2.0,-0.6053783123526983,-1.3946216876473017
2014-03-31,-2.3019,0.33850364125387333,-2.640403641253873
2014-04-30,-2.0042,1.2540396675553351,-3.258239667555335
2014-05-31,-1.4464,1.0030390400436264,-2.449439040043626
2014-06-30,-1.1092,0.39823122411055456,-1.5074312241105545
2014-07-31,-0.8688,0.4905034730946287,-1.3593034730946287
2014-08-31,-1.2038,0.12078248355857024,-1.3245824835585702
2014-09-30,-1.7996,-0.2878961255156942,-1.5117038744843059
2014-10-31,-2.2428,-0.5826701425405818,-1.660129857459418
2014-11-30,-2.6928,-0.874112099457875,-1.818687900542125
2014-12-31,-3.3152,0.09043833941649382,-3.4056383394164937
2015-01-31,-4.3202,0.77347815967891,-5.09367815967891
2015-02-28,-4.7976,1.0513666937604182,-5.848966693760419
2015-03-31,-4.5603,1.1720870118813922,-5.732387011881392
2015-04-30,-4.5725,-0.014560647256534054,-4.557939352743466
2015-05-31,-4.607,-0.7403949178650615,-3.8666050821349387
2015-06-30,-4.8135,-1.1384245156268142,-3.675075484373186
2015-07-31,-5.3692,-1.4941390223897741,-3.875060977610226
2015-08-31,-5.9227,-1.840343635102938,-4.082356364897062
2015-09-30,-5.945,-2.7800726747128426,-3.1649273252871577
2015-10-31,-5.9,-2.292549701604468,-3.6074502983955323
2015-11-30,-5.9,-1.3747655380255281,-4.525234461974472
2015-12-31,-5.9,-1.274645285600851,-4.625354714399149
2016-01-31,-5.3,-0.7617168161213037,-4.538283183878696
2016-02-29,-4.9,-1.2995369348030437,-3.6004630651969567
2016-03-31,-4.3,-2.0537302104200226,-2.2462697895799772
2016-04-30,-3.4,-2.400488925185172,-0.9995110748148277
2016-05-31,-2.8,-1.8693919421673133,-0.9306080578326865
2016-06-30,-2.6,-1.7029771375514358,-0.8970228624485643
2016-07-31,-1.7,-1.3355341557728195,-0.3644658442271804
2016-08-31,-0.8,-1.2847840394266878,0.4847840394266878
2016-09-30,0.1,-0.19770181983245827,0.29770181983245825
2016-10-31,1.2,-0.3249031325421754,1.5249031325421754
2016-11-30,3.3,0.6498133306974285,2.6501866693025713
2016-12-31,5.5,1.262057059007601,4.237942940992399
2017-01-31,6.9,1.1818146750231016,5.718185324976899
2017-02-28,7.8,0.8459147111208205,6.954085288879179
2017-03-31,7.6,1.943893337481808,5.656106662518192
2017-04-30,6.4,1.972902617171683,4.427097382828317
2017-05-31,5.5,2.834474774224449,2.665525225775551
2017-06-30,5.5,3.502311475853011,1.997688524146989
2017-07-31,5.5,5.750745864766591,-0.250745864766591
2017-08-31,6.3,6.871082747647498,-0.5710827476474982
2017-09-30,6.9,6.910336251513236,-0.010336251513235695
2017-10-31,6.9,6.442343128991549,0.4576568710084512
2017-11-30,5.8,3.983057009815436,1.8169429901845637
2017-12-31,4.9,1.5443052607814245,3.355694739218576
2018-01-31,4.3,0.7357057714657689,3.564294228534231
2018-02-28,3.7,1.341911098890895,2.358088901109105
2018-03-31,3.1,1.6631632791881046,1.4368367208118955
2018-04-30,3.4,3.891952731314788,-0.4919527313147882
2018-05-31,4.1,3.8471969906393966,0.25280300936060307
2018-06-30,4.7,3.55130267411538,1.14869732588462
2018-07-31,4.6,1.2771753954475287,3.322824604552471
2018-08-31,4.1,0.7111712201541227,3.388828779845877
2018-09-30,3.6,0.10394649022849656,3.4960535097715035
2018-10-31,3.3,0.0966800281031972,3.2033199718968026
2018-11-30,2.7,0.14469335851793197,2.555306641482068
2018-12-31,0.9,1.634582039631045,-0.7345820396310451
2019-01-31,0.1,2.5591307228669047,-2.4591307228669046
2019-02-28,0.1,3.365156413677159,-3.265156413677159
2019-03-31,0.4,2.565899422061765,-2.165899422061765
2019-04-30,0.9,1.6426143845406678,-0.7426143845406677
2019-05-31,0.6,0.8768610148111637,-0.27686101481116376
2019-06-30,0.0,0.7637276312256844,-0.7637276312256844
2019-07-31,-0.3,0.12142245292105613,-0.4214224529210561
2019-08-31,-0.8,-2.1848764496393276,1.3848764496393275
2019-09-30,-1.2,-1.2459379652844569,0.04593796528445693
2019-10-31,-1.6,-0.8963384513285835,-0.7036615486714166
2019-11-30,-1.4,0.5463602118313456,-1.9463602118313457
2019-12-31,-0.5,1.6940220092519307,-2.1940220092519307
2020-01-31,0.1,0.6196274692661758,-0.5196274692661759
2020-02-29,-0.4,0.05334569766893171,-0.45334569766893174
2020-03-31,-1.5,-0.25573725199192937,-1.2442627480080706
2020-04-30,-3.1,-0.945685150255712,-2.154314849744288
2020-05-31,-3.7,-0.6950821531969942,-3.004917846803006
2020-06-30,-3.0,-0.979166926938881,-2.020833073061119
2020-07-31,-2.4,0.09527412012274805,-2.495274120122748
2020-08-31,-2.0,1.523138971374117,-3.523138971374117
2020-09-30,-2.1,1.802160471040522,-3.902160471040522
2020-10-31,-2.1,0.480105111572097,-2.580105111572097
2020-11-30,-1.5,-1.14497295146942,-0.35502704853058
2020-12-31,-0.4,-3.3845996362390967,2.9845996362390967
2021-01-31,0.3,-2.5635911358427084,2.863591135842708
2021-02-28,1.7,-0.6441955827702941,2.3441955827702943
2021-03-31,4.4,0.32071843569805836,4.079281564301942
2021-04-30,6.8,1.1884438529903383,5.6115561470096615
2021-05-31,9.0,0.2840037311487027,8.715996268851297
2021-06-30,8.8,0.23314992852608363,8.566850071473917
2021-07-31,9.0,0.9594884279595104,8.04051157204049
2021-08-31,9.5,2.224352142413709,7.275647857586291
2021-09-30,10.7,2.3640140213354073,8.335985978664592
2021-10-31,13.5,4.274391765372762,9.225608234627238
2021-11-30,12.9,6.900841939464962,5.999158060535039
2021-12-31,10.3,7.899446978641728,2.400553021358273
2022-01-31,9.1,9.33650165237944,-0.23650165237943988
2022-02-28,8.8,5.298183749810065,3.501816250189936
2022-03-31,8.3,5.612501401712198,2.687498598287803
2022-04-30,8.0,4.325655874482575,3.6743441255174254
2022-05-31,6.4,6.150112521504607,0.24988747849539372
2022-06-30,6.1,9.841465740204725,-3.7414657402047258
2022-07-31,4.2,5.093222207988539,-0.893222207988539
2022-08-31,2.3,2.1576627762628746,0.1423372237371252
2022-09-30,0.9,0.9992553141996439,-0.09925531419964384
2022-10-31,-1.3,0.7908496446821616,-2.0908496446821614
2022-11-30,-1.3,1.532798761409829,-2.832798761409829
2022-12-31,-0.7,2.4577623307922067,-3.157762330792207
2023-01-31,-0.8,-0.21959684421490167,-0.5804031557850984
2023-02-28,-1.4,1.7436017532115464,-3.1436017532115463
2023-03-31,-2.5,-2.2935911640047735,-0.20640883599522653
2023-04-30,-3.6,-1.9955569223970926,-1.6044430776029075
2023-05-31,-4.6,-2.9773087585340283,-1.6226912414659713
2023-06-30,-5.4,-4.888533030754692,-0.5114669692453084
2023-07-31,-4.4,-1.1487297502906033,-3.251270249709397
2023-08-31,-3.0,-0.4846220933592227,-2.5153779066407775
2023-09-30,-2.5,0.2378339009295607,-2.7378339009295605
2023-10-31,-2.6,-0.30444666676099486,-2.2955533332390052
2023-11-30,-3.0,-2.0477678945393456,-0.9522321054606544
2023-12-31,-2.7,-2.8553239047668386,0.15532390476683844
2024-01-31,-2.5,-3.4324406776221315,0.9324406776221315
2024-02-29,-2.7,-3.3751560184561615,0.6751560184561614
2024-03-31,-2.8,-0.16657367502809173,-2.633426324971908
2024-04-30,-2.5,1.2261664521533397,-3.7261664521533397
2024-05-31,-1.4,1.4927985545567894,-2.8927985545567894
2024-06-30,-0.8,0.7791494791783693,-1.5791494791783693
2024-07-31,-0.8,-0.5976879098996486,-0.20231209010035145
2024-08-31,-1.8,0.06984653355192183,-1.8698465335519219
2024-09-30,-2.8,-0.20276372338891058,-2.5972362766110892
2024-10-31,-2.9,-0.32702285852257784,-2.572977141477422
2024-11-30,-2.5,-0.32064943165645765,-2.1793505683435423
2024-12-31,-2.3,0.07974422385985847,-2.3797442238598583
2025-01-31,-2.3,1.7913806680747637,-4.0913806680747635
2025-02-28,-2.2,1.607311813730532,-3.807311813730532
2025-03-31,-2.5,1.2855153634270045,-3.7855153634270042
2025-04-30,-2.7,-1.0448886797931722,-1.655111320206828
2025-05-31,-3.3,-1.9442080978820924,-1.3557919021179075
2025-06-30,-3.6,-1.3964936456604713,-2.203506354339529
2025-07-31,-3.6,-0.4150309137142232,-3.184969086285777
2025-08-31,-2.9,0.11459358301089928,-3.014593583010899
2025-09-30,-2.3,0.1938745794576251,-2.493874579457625
2025-10-31,-2.1,0.2015116520385103,-2.3015116520385104
2025-11-30,-2.2,-0.6687054722087877,-1.5312945277912124
2025-12-31,-1.9,-0.5325569341275473,-1.3674430658724526
2026-01-31,-1.4,-1.662904135285915,0.26290413528591516
2026-02-28,-0.9,-1.2499837926639632,0.3499837926639632
2026-03-31,0.5,-1.0847685452156135,1.5847685452156135
2026-04-30,2.8,0.4955624683669271,2.3044375316330727
2026-05-31,3.9,0.8403987350393693,3.0596012649606306
