date,raw_pmi,hamilton_trend,hamilton_cycle
2005-01-31,54.7,,
2005-02-28,54.5,,
2005-03-31,57.9,,
2005-04-30,56.7,,
2005-05-31,52.9,,
2005-06-30,51.7,,
2005-07-31,51.1,,
2005-08-31,52.6,,
2005-09-30,55.1,,
2005-10-31,54.1,,
2005-11-30,54.1,,
2005-12-31,54.3,52.309611793869344,1.9903882061306533
2006-01-31,52.1,51.696174547753905,0.403825452246096
2006-02-28,52.1,51.97262126986368,0.1273787301363214
2006-03-31,55.3,51.784559230203726,3.515440769796271
2006-04-30,58.1,51.453413028910205,6.646586971089796
2006-05-31,54.8,51.647397637391165,3.1526023626088318
2006-06-30,54.1,51.45223164300811,2.6477683569918895
2006-07-31,52.4,51.589727087286036,0.8102729127139625
2006-08-31,53.1,51.990651402273215,1.109348597726786
2006-09-30,57.0,51.571388036215225,5.428611963784775
2006-10-31,54.7,51.52261895185013,3.1773810481498757
2006-11-30,55.3,52.00882369101035,3.291176308989648
2006-12-31,54.8,52.1210946743807,2.678905325619297
2007-01-31,55.1,51.68511385887661,3.4148861411233895
2007-02-28,53.1,51.920348788995994,1.179651211004007
2007-03-31,56.1,52.15618979608925,3.9438102039107505
2007-04-30,58.6,51.76014932191406,6.839850678085945
2007-05-31,55.7,52.21202315146051,3.487976848539496
2007-06-30,54.5,51.740415944503816,2.759584055496184
2007-07-31,53.3,51.78493610553547,1.5150638944645252
2007-08-31,54.0,52.33455939802739,1.6654406019726125
2007-09-30,56.1,52.024598016168014,4.075401983831988
2007-10-31,53.2,51.87012242349827,1.3298775765017297
2007-11-30,55.4,52.136905414142824,3.263094585857175
2007-12-31,55.3,52.603769431918785,2.696230568081212
2008-01-31,53.0,51.93451920912556,1.0654807908744388
2008-02-29,53.4,52.0920131299891,1.3079868700109003
2008-03-31,58.4,52.3306939808868,6.069306019113199
2008-04-30,59.2,52.01219804702087,7.187801952979136
2008-05-31,53.3,52.151842520952655,1.1481574790473417
2008-06-30,52.0,51.6377218398341,0.3622781601659
2008-07-31,48.4,51.914331058127615,-3.514331058127617
2008-08-31,48.4,52.30603402675886,-3.90603402675886
2008-09-30,51.2,51.5513220862443,-0.35132208624429495
2008-10-31,44.6,51.86942111012118,-7.269421110121179
2008-11-30,38.8,52.55409346310225,-13.754093463102251
2008-12-31,41.2,52.423589152103915,-11.223589152103912
2009-01-31,45.3,51.631461141210906,-6.331461141210909
2009-02-28,49.0,52.035410071267236,-3.0354100712672363
2009-03-31,52.4,51.78947505857164,0.6105249414283591
2009-04-30,53.5,50.91078113432691,2.5892188656730895
2009-05-31,53.1,51.1640993110194,1.9359006889806025
2009-06-30,53.2,49.86587770997485,3.3341222900251495
2009-07-31,53.3,48.928503932361686,4.3714960676383114
2009-08-31,54.0,49.658575372483426,4.341424627516574
2009-09-30,54.3,49.425343557199234,4.874656442800763
2009-10-31,55.2,49.10977259828233,6.090227401717669
2009-11-30,55.2,49.870236416482285,5.3297635835177175
2009-12-31,56.6,50.57904580196738,6.020954198032619
2010-01-31,55.8,50.99919111357929,4.800808886420704
2010-02-28,52.0,51.46077364482694,0.5392263551730565
2010-03-31,55.1,51.63986587370416,3.4601341262958414
2010-04-30,55.7,51.672835975881284,4.0271640241187185
2010-05-31,53.9,51.737371319151116,2.162628680848883
2010-06-30,52.1,51.85764711003738,0.24235288996262483
2010-07-31,51.2,51.96827204835752,-0.7682720483575167
2010-08-31,51.7,52.170484945630136,-0.4704849456301332
2010-09-30,53.8,52.2235121031618,1.576487896838195
2010-10-31,54.7,51.68997731490168,3.0100226850983205
2010-11-30,55.2,52.22586336651513,2.974136633484875
2010-12-31,53.9,52.33493437801379,1.5650656219862071
2011-01-31,52.9,51.51155607025455,1.3884439297454492
2011-02-28,52.2,51.66988675283125,0.5301132471687495
2011-03-31,53.4,51.64226516889455,1.757734831105445
2011-04-30,52.9,51.472813987472314,1.4271860125276845
2011-05-31,52.0,51.51704293253272,0.4829570674672823
2011-06-30,50.9,51.53660229312149,-0.6366022931214914
2011-07-31,50.7,51.643820774681984,-0.9438207746819813
2011-08-31,50.9,51.76470910418493,-0.8647091041849322
2011-09-30,51.2,51.72671474981986,-0.5267147498198597
2011-10-31,50.4,51.71584309226377,-1.3158430922637692
2011-11-30,49.0,51.69340921212429,-2.693409212124287
2011-12-31,50.3,51.52739986009789,-1.22739986009789
2012-01-31,50.5,51.27687249833532,-0.7768724983353223
2012-02-29,51.0,51.298335865671824,-0.2983358656718238
2012-03-31,53.1,51.19939233429179,1.9006076657082147
2012-04-30,53.3,51.11766174831186,2.1823382516881367
2012-05-31,50.4,51.008942462961485,-0.6089424629614868
2012-06-30,50.2,50.87985667537935,-0.679856675379348
2012-07-31,50.1,50.7060710588823,-0.6060710588823
2012-08-31,49.2,50.90422020414744,-1.7042202041474397
2012-09-30,49.8,50.873445057285686,-1.0734450572856886
2012-10-31,50.2,50.71527038869286,-0.5152703886928549
2012-11-30,50.6,51.17392097846434,-0.5739209784643364
2012-12-31,50.6,51.25933892440513,-0.6593389244051266
2013-01-31,50.4,50.9167758932244,-0.5167758932243984
2013-02-28,50.1,51.12520973714088,-1.0252097371408766
2013-03-31,50.9,51.19978117802789,-0.2997811780278923
2013-04-30,50.6,50.67670843042857,-0.07670843042856745
2013-05-31,50.8,50.70931339656778,0.0906866034322178
2013-06-30,50.1,50.77813361782198,-0.6781336178219775
2013-07-31,50.3,50.69712925137275,-0.39712925137275334
2013-08-31,51.0,50.78134170087739,0.21865829912260892
2013-09-30,51.1,50.80357029790318,0.2964297020968232
2013-10-31,51.4,50.81765699285493,0.5823430071450701
2013-11-30,51.4,50.918460753108704,0.4815392468912947
2013-12-31,51.0,50.874421569003374,0.1255784309966259
2014-01-31,50.5,50.83415042062246,-0.33415042062245703
2014-02-28,50.2,50.86815541186827,-0.6681554118682698
2014-03-31,50.3,50.832872401218395,-0.5328724012183983
2014-04-30,50.4,50.97012545088824,-0.5701254508882414
2014-05-31,50.8,50.89372898508966,-0.09372898508966188
2014-06-30,51.0,50.9472287592406,0.0527712407593981
2014-07-31,51.7,51.05009513578014,0.649904864219863
2014-08-31,51.1,51.00645149730901,0.09354850269099302
2014-09-30,51.1,50.97673304245649,0.12326695754351391
2014-10-31,50.8,50.936908159737165,-0.13690815973716752
2014-11-30,50.3,50.897987058256234,-0.597987058256237
2014-12-31,50.1,50.84864581588132,-0.7486458158813178
2015-01-31,49.8,50.85731726102807,-1.057317261028075
2015-02-28,49.9,50.90298284721745,-1.002982847217453
2015-03-31,50.1,51.002145104344734,-0.9021451043447328
2015-04-30,50.1,50.99160722389817,-0.8916072238981698
2015-05-31,50.2,50.99253541581815,-0.7925354158181506
2015-06-30,50.2,51.06614635652468,-0.8661463565246805
2015-07-31,50.0,50.911177623199784,-0.9111776231997837
2015-08-31,49.7,50.88198871141999,-1.18198871141999
2015-09-30,49.8,50.807974573849044,-1.0079745738490473
2015-10-31,49.8,50.74838070082802,-0.9483807008280252
2015-11-30,49.6,50.75427572301049,-1.1542757230104854
2015-12-31,49.7,50.71371311840306,-1.0137131184030537
2016-01-31,49.4,50.736312850381466,-1.3363128503814679
2016-02-29,49.0,50.76661372221503,-1.7666137222150269
2016-03-31,50.2,50.73881002246002,-0.5388100224600194
2016-04-30,50.1,50.710473676419255,-0.6104736764192538
2016-05-31,50.1,50.7215848717191,-0.6215848717191008
2016-06-30,50.0,50.70185344677187,-0.7018534467718709
2016-07-31,49.9,50.63162670602435,-0.7316267060243504
2016-08-31,50.4,50.65454325424297,-0.254543254242968
2016-09-30,50.4,50.62247693330424,-0.22247693330424312
2016-10-31,51.2,50.534708225575585,0.6652917744244178
2016-11-30,51.7,50.701064301873025,0.9989356981269779
2016-12-31,51.4,50.678763181879326,0.7212368181206728
2017-01-31,51.3,50.59405325121373,0.7059467487862676
2017-02-28,51.6,50.7531094442443,0.8468905557556994
2017-03-31,51.8,50.72413636251007,1.075863637489924
2017-04-30,51.2,50.78836088845442,0.41163911154558264
2017-05-31,51.2,50.786491349941564,0.4135086500584393
2017-06-30,51.7,50.86396986166963,0.8360301383303721
2017-07-31,51.4,51.01489180385637,0.38510819614362646
2017-08-31,51.7,50.96912833468539,0.7308716653146163
2017-09-30,52.4,51.05250042379181,1.347499576208186
2017-10-31,51.6,51.16615807617794,0.4338419238220581
2017-11-30,51.8,51.15759526845603,0.6424047315439694
2017-12-31,51.6,51.06408084453726,0.5359191554627429
2018-01-31,51.3,51.09003631324795,0.20996368675204735
2018-02-28,50.3,51.19544797415238,-0.8954479741523826
2018-03-31,51.5,51.082256443998794,0.4177435560012057
2018-04-30,51.4,51.10375331805119,0.29624668194880854
2018-05-31,51.9,51.27673924271753,0.6232607572824662
2018-06-30,51.5,51.13941056686673,0.36058943313327063
2018-07-31,51.2,51.17606853057018,0.023931469429825825
2018-08-31,51.3,51.27088488910258,0.02911511089741481
2018-09-30,50.8,51.11092491483361,-0.3109249148336133
2018-10-31,50.2,51.009372678248496,-0.8093726782484936
2018-11-30,50.0,51.12119264652219,-1.1211926465221893
2018-12-31,49.4,51.11195504228033,-1.71195504228033
2019-01-31,49.5,51.00646514745392,-1.5064651474539232
2019-02-28,49.2,51.137175892315966,-1.9371758923159632
2019-03-31,50.5,51.0656335668099,-0.5656335668099004
2019-04-30,50.1,51.15180433568125,-1.051804335681247
2019-05-31,49.4,51.03972476558143,-1.639724765581434
2019-06-30,49.4,50.9081509080485,-1.5081509080484992
2019-07-31,49.7,50.89543867067829,-1.1954386706782856
2019-08-31,49.5,50.75688008770977,-1.2568800877097672
2019-09-30,49.8,50.677088667508954,-0.8770886675089571
2019-10-31,49.3,50.6254493297431,-1.3254493297431011
2019-11-30,50.2,50.698941367960145,-0.49894136796014266
2019-12-31,50.2,50.6946062238085,-0.4946062238084963
2020-01-31,50.0,50.526110955712234,-0.5261109557122339
2020-02-29,35.7,50.70452123231132,-15.004521232311319
2020-03-31,52.0,50.701637616726316,1.298362383273684
2020-04-30,50.8,50.58308060746299,0.2169193925370081
2020-05-31,50.6,50.610950831271204,-0.010950831271202333
2020-06-30,50.9,50.599718793205724,0.30028120679427417
2020-07-31,51.1,50.670129797559056,0.4298702024409451
2020-08-31,51.0,50.74160870222495,0.25839129777504866
2020-09-30,51.5,50.625681913146614,0.8743180868533855
2020-10-31,51.4,48.916622377340666,2.483377622659333
2020-11-30,52.1,50.72083755941724,1.3791624405827605
2020-12-31,51.9,51.17921562907785,0.7207843709221464
2021-01-31,51.3,48.75230591598343,2.5476940840165696
2021-02-28,50.6,51.11782015643196,-0.5178201564319593
2021-03-31,51.9,50.984165478357774,0.9158345216422248
2021-04-30,51.1,50.94057615859906,0.1594238414009439
2021-05-31,51.0,51.040691967659995,-0.0406919676599955
2021-06-30,50.9,51.06843224657483,-0.1684322465748309
2021-07-31,50.4,51.131078690232854,-0.7310786902328559
2021-08-31,50.1,51.19246647558576,-1.0924664755857592
2021-09-30,49.6,51.08216766314495,-1.4821676631449492
2021-10-31,49.2,51.083703632059645,-1.8837036320596425
2021-11-30,50.1,51.220925115289724,-1.1209251152897224
2021-12-31,50.3,51.075058991730685,-0.7750589917306883
2022-01-31,50.1,50.918803632345984,-0.8188036323459826
2022-02-28,50.2,51.10522276291268,-0.905222762912679
2022-03-31,49.5,50.92818694389514,-1.4281869438951418
2022-04-30,47.4,50.867689289635706,-3.4676892896357074
2022-05-31,49.6,50.79431188775823,-1.194311887758225
2022-06-30,50.2,50.668791460527856,-0.4687914605278536
2022-07-31,49.0,50.74449831672468,-1.7444983167246804
2022-08-31,49.4,50.726298306581555,-1.3262983065815561
2022-09-30,50.1,50.62855022017779,-0.5285502201777916
2022-10-31,49.2,50.76024037245921,-1.560240372459205
2022-11-30,48.0,50.70520318458945,-2.7052031845894504
2022-12-31,47.0,50.39153429823758,-3.3915342982375805
2023-01-31,50.1,50.66041126409627,-0.5604112640962668
2023-02-28,52.6,50.72844039408204,1.871559605917959
2023-03-31,51.9,50.24193393363065,1.6580660663693507
2023-04-30,49.2,50.56699947868762,-1.3669994786876174
2023-05-31,48.8,50.77574053515111,-1.975740535151111
2023-06-30,49.0,50.49615226013256,-1.4961522601325612
2023-07-31,49.3,50.36554726308712,-1.0655472630871259
2023-08-31,49.7,50.331771262653206,-0.6317712626532028
2023-09-30,50.2,50.60765065663753,-0.40765065663752864
2023-10-31,49.5,50.84264578770298,-1.3426457877029776
2023-11-30,49.4,50.59451936735285,-1.1945193673528536
2023-12-31,49.0,50.61837052752233,-1.6183705275223303
2024-01-31,49.2,50.881374941604,-1.6813749416039983
2024-02-29,49.1,50.85872473594695,-1.7587247359469487
2024-03-31,50.8,50.52810373722036,0.2718962627796344
2024-04-30,50.4,50.52449460508805,-0.12449460508805288
2024-05-31,49.5,50.61838637038552,-1.1183863703855224
2024-06-30,49.5,50.57250205844892,-1.0725020584489187
2024-07-31,49.4,50.591234714877814,-1.1912347148778153
2024-08-31,49.1,50.62390881281126,-1.523908812811257
2024-09-30,49.8,50.5446500388962,-0.7446500388962036
2024-10-31,50.1,50.53044250117882,-0.4304425011788169
2024-11-30,50.3,50.685329897368696,-0.38532989736869894
2024-12-31,50.1,50.69885663965143,-0.5988566396514301
2025-01-31,49.1,50.52430794125259,-1.4243079412525859
2025-02-28,50.2,50.75524458349798,-0.5552445834979807
2025-03-31,50.5,50.705462578904196,-0.2054625789041964
2025-04-30,49.0,50.537734940726864,-1.537734940726864
2025-05-31,49.5,50.62354822479048,-1.1235482247904827
2025-06-30,49.7,50.668510551233204,-0.9685105512332015
2025-07-31,49.3,50.642529722508826,-1.3425297225088286
2025-08-31,49.4,50.71339630216285,-1.3133963021628503
2025-09-30,49.8,50.61929491324588,-0.8192949132458835
2025-10-31,49.0,50.77268845998614,-1.772688459986142
2025-11-30,49.2,50.826825919162644,-1.6268259191626413
2025-12-31,50.1,50.4753241836854,-0.3753241836854002
2026-01-31,49.3,50.658127026361605,-1.3581270263616076
2026-02-28,49.0,50.768929526389456,-1.7689295263894564
2026-03-31,50.4,50.49871285305129,-0.09871285305128907
2026-04-30,50.3,50.56980126166559,-0.2698012616655916
2026-05-31,50.0,50.660064038259755,-0.6600640382597547
